ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM,LOCATION,SWIM SEC,T1 SEC,BIKE SEC,T2 SEC,RUN SEC,TOTAL TIME SEC
Danya,Douglas-Hunt,CAN,,,,,,,,,NF Medicals,Hamburg,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Alistair,Brownlee,GBR,28,0:16:38,0:01:04,0:57:23,0:00:25,0:31:23,1,1:46:51,Elite Men,Leeds,998,64,3443,25,1883,6411
Jonathan,Brownlee,GBR,26,0:16:34,0:01:06,0:57:26,0:00:25,0:31:35,2,1:47:03,Elite Men,Leeds,994,66,3446,25,1895,6423
Fernando,Alarza,ESP,1,0:16:47,0:01:05,0:58:29,0:00:25,0:30:44,3,1:47:28,Elite Men,Leeds,1007,65,3509,25,1844,6448
Adam,Bowden,GBR,19,0:16:44,0:01:07,0:58:29,0:00:25,0:30:57,4,1:47:41,Elite Men,Leeds,1004,67,3509,25,1857,6461
Thomas,Bishop,GBR,3,0:16:52,0:01:08,0:58:20,0:00:26,0:31:06,5,1:47:50,Elite Men,Leeds,1012,68,3500,26,1866,6470
Kristian,Blummenfelt,NOR,5,0:16:47,0:01:04,0:58:27,0:00:25,0:31:26,6,1:48:06,Elite Men,Leeds,1007,64,3507,25,1886,6486
Joao,Silva,POR,18,0:16:52,0:01:02,0:58:28,0:00:27,0:32:11,7,1:48:58,Elite Men,Leeds,1012,62,3508,27,1931,6538
Pierre,Le Corre,FRA,29,0:16:34,0:01:05,0:58:41,0:00:26,0:32:14,8,1:48:58,Elite Men,Leeds,994,65,3521,26,1934,6538
Vicente,Hernandez,ESP,11,0:16:55,0:01:06,0:58:19,0:00:28,0:32:17,9,1:49:04,Elite Men,Leeds,1015,66,3499,28,1937,6544
Vincent,Luis,FRA,6,0:16:53,0:01:05,0:58:21,0:00:27,0:32:28,10,1:49:12,Elite Men,Leeds,1013,65,3501,27,1948,6552
Richard,Varga,SVK,14,0:16:33,0:01:10,0:58:38,0:00:26,0:32:34,11,1:49:19,Elite Men,Leeds,993,70,3518,26,1954,6559
Aaron,Royle,AUS,27,0:16:40,0:01:06,0:58:33,0:00:25,0:32:46,12,1:49:28,Elite Men,Leeds,1000,66,3513,25,1966,6568
Marc,Austin,GBR,16,0:16:47,0:01:10,0:58:26,0:00:25,0:32:53,13,1:49:39,Elite Men,Leeds,1007,70,3506,25,1973,6579
Jonas,Schomburg,ITU,31,0:16:50,0:01:03,0:58:29,0:00:24,0:33:06,14,1:49:50,Elite Men,Leeds,1010,63,3509,24,1986,6590
Dorian,Coninx,FRA,33,0:16:55,0:01:07,0:58:16,0:00:23,0:33:24,15,1:50:04,Elite Men,Leeds,1015,67,3496,23,2004,6604
Crisanto,Grajales,MEX,7,0:17:15,0:01:08,0:59:23,0:00:28,0:32:00,16,1:50:12,Elite Men,Leeds,1035,68,3563,28,1920,6612
Aurelien,Raphael,FRA,30,0:16:36,0:01:04,0:58:42,0:00:25,0:33:30,17,1:50:16,Elite Men,Leeds,996,64,3522,25,2010,6616
Antonio,Serrat Seoane,ESP,36,0:17:13,0:01:07,0:59:29,0:00:26,0:32:11,18,1:50:24,Elite Men,Leeds,1033,67,3569,26,1931,6624
Henrik,Goesch,FIN,24,0:17:13,0:01:09,0:59:18,0:00:29,0:32:43,19,1:50:50,Elite Men,Leeds,1033,69,3558,29,1963,6650
Declan,Wilson,AUS,15,0:16:57,0:01:05,0:58:16,0:00:24,0:34:25,20,1:51:05,Elite Men,Leeds,1017,65,3496,24,2065,6665
Jan,Celustka,CZE,39,0:17:14,0:01:08,0:59:13,0:00:27,0:33:33,21,1:51:33,Elite Men,Leeds,1034,68,3553,27,2013,6693
Christophe,De Keyser,BEL,20,0:17:17,0:01:11,0:59:12,0:00:24,0:33:36,22,1:51:37,Elite Men,Leeds,1037,71,3552,24,2016,6697
Russell,White,IRL,38,0:16:49,0:01:03,0:59:46,0:00:27,0:33:49,23,1:51:52,Elite Men,Leeds,1009,63,3586,27,2029,6712
Andreas,Schilling,DEN,8,0:16:52,0:01:08,0:59:35,0:00:28,0:33:58,24,1:51:58,Elite Men,Leeds,1012,68,3575,28,2038,6718
Miguel,Arraiolos,POR,25,0:17:48,0:01:08,1:00:24,0:00:24,0:32:29,25,1:52:10,Elite Men,Leeds,1068,68,3624,24,1949,6730
Peter,Denteneer,BEL,43,0:16:43,0:01:07,0:59:50,0:00:25,0:34:13,26,1:52:16,Elite Men,Leeds,1003,67,3590,25,2053,6736
Jason,West,USA,40,0:18:05,0:01:14,1:00:04,0:00:29,0:32:59,27,1:52:48,Elite Men,Leeds,1085,74,3604,29,1979,6768
Gordon,Benson,GBR,12,0:17:10,0:01:09,0:59:16,0:00:30,0:34:49,28,1:52:52,Elite Men,Leeds,1030,69,3556,30,2089,6772
Casper,Stornes,NOR,45,0:17:20,0:01:18,1:00:40,0:00:29,0:33:12,29,1:52:58,Elite Men,Leeds,1040,78,3640,29,1992,6778
Andrea,Salvisberg,SUI,4,0:16:53,0:01:11,0:59:38,0:00:31,0:35:06,30,1:53:17,Elite Men,Leeds,1013,71,3578,31,2106,6797
Danilo,Pimentel,BRA,37,0:17:55,0:01:18,1:00:09,0:00:26,0:33:40,31,1:53:26,Elite Men,Leeds,1075,78,3609,26,2020,6806
Gregory,Barnaby,ITA,42,0:17:47,0:01:09,1:00:23,0:00:25,0:33:49,32,1:53:31,Elite Men,Leeds,1067,69,3623,25,2029,6811
Yuichi,Hosoda,JPN,23,0:17:09,0:01:13,0:59:27,0:00:28,0:35:23,33,1:53:37,Elite Men,Leeds,1029,73,3567,28,2123,6817
Drew,Box,AUS,21,0:16:38,0:01:10,0:58:36,0:00:25,0:37:04,34,1:53:50,Elite Men,Leeds,998,70,3516,25,2224,6830
Simon,De Cuyper,BEL,34,0:18:04,0:01:13,1:00:02,0:00:23,0:34:28,35,1:54:07,Elite Men,Leeds,1084,73,3602,23,2068,6847
David,Luis,POR,47,0:16:43,0:01:06,1:01:07,0:00:26,0:34:52,36,1:54:11,Elite Men,Leeds,1003,66,3667,26,2092,6851
Marcel,Walkington,AUS,10,0:16:45,0:01:07,1:00:01,0:00:30,0:36:09,37,1:54:30,Elite Men,Leeds,1005,67,3601,30,2169,6870
Eli,Hemming,USA,35,0:17:10,0:01:10,0:59:28,0:00:27,0:37:38,38,1:55:50,Elite Men,Leeds,1030,70,3568,27,2258,6950
Matthias,Steinwandter,ITA,41,0:18:06,0:01:08,1:02:12,0:00:26,0:34:16,39,1:56:06,Elite Men,Leeds,1086,68,3732,26,2056,6966
Ji Hwan,Kim,KOR,22,0:18:02,0:01:07,1:00:12,0:00:28,0:37:09,40,1:56:57,Elite Men,Leeds,1082,67,3612,28,2229,7017
Oscar,Coggins,HKG,48,0:17:46,0:01:12,1:00:23,0:00:34,0:37:56,41,1:57:49,Elite Men,Leeds,1066,72,3623,34,2276,7069
Henri,Schoeman,RSA,2,0:16:39,0:01:05,0:58:38,0:00:30,0:00:00,DNF,DNF,Elite Men,Leeds,999,65,3518,30,0,#VALUE!
Joao,Pereira,POR,9,0:17:22,0:01:12,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Leeds,1042,72,0,0,0,#VALUE!
Raoul,Shaw,FRA,44,0:16:34,0:01:13,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Leeds,994,73,0,0,0,#VALUE!
Grant,Sheldon,GBR,32,0:18:01,0:01:16,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Men,Leeds,1081,76,0,0,0,#VALUE!
Flora,Duffy,BER,9,0:17:53,0:01:12,1:02:27,0:00:28,0:35:04,1,1:57:02,Elite Women,Leeds,1073,72,3747,28,2104,7022
Taylor,Spivey,USA,16,0:17:55,0:01:10,1:02:29,0:00:29,0:36:32,2,1:58:32,Elite Women,Leeds,1075,70,3749,29,2192,7112
Alice,Betto,ITA,17,0:17:52,0:01:12,1:02:29,0:00:28,0:37:37,3,1:59:36,Elite Women,Leeds,1072,72,3749,28,2257,7176
Kirsten,Kasper,USA,1,0:17:53,0:01:12,1:04:58,0:00:26,0:36:06,4,2:00:33,Elite Women,Leeds,1073,72,3898,26,2166,7233
Ai,Ueda,JPN,4,0:19:17,0:01:13,1:04:57,0:00:25,0:35:10,5,2:00:59,Elite Women,Leeds,1157,73,3897,25,2110,7259
Gillian,Backhouse,AUS,3,0:18:32,0:01:14,1:04:18,0:00:30,0:36:35,7,2:01:06,Elite Women,Leeds,1112,74,3858,30,2195,7266
Jessica,Learmonth,GBR,15,0:17:47,0:01:09,1:05:09,0:00:28,0:36:35,6,2:01:06,Elite Women,Leeds,1067,69,3909,28,2195,7266
Ashleigh,Gentle,AUS,2,0:19:05,0:01:15,1:05:09,0:00:30,0:35:44,8,2:01:40,Elite Women,Leeds,1145,75,3909,30,2144,7300
Charlotte,McShane,AUS,5,0:19:00,0:01:12,1:05:17,0:00:26,0:35:58,9,2:01:50,Elite Women,Leeds,1140,72,3917,26,2158,7310
Juri,Ide,JPN,10,0:17:58,0:01:17,1:04:51,0:00:29,0:37:19,10,2:01:53,Elite Women,Leeds,1078,77,3891,29,2239,7313
Non,Stanford,GBR,14,0:18:45,0:01:14,1:04:06,0:00:31,0:37:23,11,2:01:57,Elite Women,Leeds,1125,74,3846,31,2243,7317
Natalie,Van Coevorden,AUS,12,0:18:01,0:01:14,1:04:51,0:00:31,0:37:38,12,2:02:13,Elite Women,Leeds,1081,74,3891,31,2258,7333
Yuka,Sato,JPN,18,0:19:10,0:01:12,1:05:09,0:00:27,0:36:42,13,2:02:38,Elite Women,Leeds,1150,72,3909,27,2202,7358
Maya,Kingma,NED,36,0:17:48,0:01:15,1:02:28,0:00:32,0:40:46,14,2:02:47,Elite Women,Leeds,1068,75,3748,32,2446,7367
Yuko,Takahashi,JPN,6,0:18:58,0:01:14,1:05:14,0:00:26,0:37:15,15,2:03:05,Elite Women,Leeds,1138,74,3914,26,2235,7385
Kaidi,Kivioja,EST,31,0:19:17,0:01:13,1:04:58,0:00:26,0:37:42,16,2:03:34,Elite Women,Leeds,1157,73,3898,26,2262,7414
India,Lee,GBR,21,0:19:03,0:01:14,1:05:12,0:00:28,0:38:10,17,2:04:06,Elite Women,Leeds,1143,74,3912,28,2290,7446
Aoi,Kuramoto,JPN,23,0:19:06,0:01:13,1:05:10,0:00:31,0:39:10,18,2:05:08,Elite Women,Leeds,1146,73,3910,31,2350,7508
Simone,Ackermann,RSA,22,0:19:02,0:01:15,1:05:13,0:00:29,0:40:37,19,2:06:34,Elite Women,Leeds,1142,75,3913,29,2437,7594
Minami,Kubono,JPN,27,0:19:06,0:01:14,1:05:10,0:00:29,0:41:16,20,2:07:14,Elite Women,Leeds,1146,74,3910,29,2476,7634
Melanie,Santos,POR,34,0:18:33,0:01:18,1:06:20,0:00:53,0:41:20,21,2:08:23,Elite Women,Leeds,1113,78,3980,53,2480,7703
Taylor,Knibb,USA,29,0:18:18,0:01:28,1:05:26,0:00:33,0:00:00,DNF,DNF,Elite Women,Leeds,1098,88,3926,33,0,#VALUE!
Gillian,Sanders,RSA,11,0:19:14,0:01:11,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Leeds,1154,71,0,0,0,#VALUE!
Annamaria,Mazzetti,ITA,28,0:19:15,0:01:15,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Leeds,1155,75,0,0,0,#VALUE!
Tamsyn,Moana-Veale,AUS,25,0:19:14,0:01:10,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Leeds,1154,70,0,0,0,#VALUE!
Renee,Tomlin,USA,8,0:19:13,0:01:13,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Leeds,1153,73,0,0,0,#VALUE!
Michelle,Flipo,ITU,30,0:19:03,0:01:15,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Leeds,1143,75,0,0,0,#VALUE!
Yurie,Matsuda,JPN,20,0:19:07,0:01:15,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Leeds,1147,75,0,0,0,#VALUE!
Cecilia,Perez,MEX,24,0:19:09,0:01:19,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Leeds,1149,79,0,0,0,#VALUE!
Sena,Takahashi,JPN,32,0:20:23,0:01:28,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Leeds,1223,88,0,0,0,#VALUE!
Summer,Cook,USA,7,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,DNS,DNS,Elite Women,Leeds,0,0,0,0,0,#VALUE!
Georgia,Taylor-Brown,GBR,33,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,DNS,DNS,Elite Women,Leeds,0,0,0,0,0,#VALUE!
Thierry,Angevin,FRA,,,,,,,,,NF Medicals,Leeds,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Emma,Deakin,GBR,,,,,,,,,NF Medicals,Leeds,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dean,Sullivan,AUS,,,,,,,,,NF Medicals,Leeds,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Victor,Carapelho,USA,,,,,,,,,NF Medicals,Leeds,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Javier,Gomez Noya,ESP,3,0:17:06,0:00:54,0:58:24,0:00:31,0:30:56,1,1:47:50,Elite Men,Montreal,1026,54,3504,31,1856,6470
Kristian,Blummenfelt,NOR,6,0:17:07,0:00:57,0:58:19,0:00:28,0:31:16,2,1:48:05,Elite Men,Montreal,1027,57,3499,28,1876,6485
Richard,Murray,RSA,4,0:17:54,0:00:55,0:58:32,0:00:32,0:30:51,3,1:48:42,Elite Men,Montreal,1074,55,3512,32,1851,6522
Jonathan,Brownlee,GBR,7,0:16:52,0:00:58,0:58:34,0:00:32,0:32:10,4,1:49:04,Elite Men,Montreal,1012,58,3514,32,1930,6544
Raphael,Montoya,FRA,12,0:17:00,0:00:59,0:59:21,0:00:33,0:31:19,5,1:49:11,Elite Men,Montreal,1020,59,3561,33,1879,6551
Jelle,Geens,BEL,34,0:17:26,0:00:56,0:59:00,0:00:30,0:31:21,6,1:49:11,Elite Men,Montreal,1046,56,3540,30,1881,6551
Simon,Viain,FRA,31,0:17:49,0:01:00,0:58:34,0:00:31,0:31:32,7,1:49:24,Elite Men,Montreal,1069,60,3514,31,1892,6564
Ryan,Sissons,NZL,9,0:17:42,0:00:57,0:58:44,0:00:31,0:31:36,8,1:49:29,Elite Men,Montreal,1062,57,3524,31,1896,6569
Pierre,Le Corre,FRA,11,0:16:59,0:00:59,0:59:26,0:00:29,0:31:42,9,1:49:33,Elite Men,Montreal,1019,59,3566,29,1902,6573
Vicente,Hernandez,ESP,8,0:17:32,0:00:59,0:58:51,0:00:31,0:31:46,10,1:49:37,Elite Men,Montreal,1052,59,3531,31,1906,6577
Crisanto,Grajales,MEX,15,0:17:51,0:01:01,0:58:34,0:00:32,0:31:45,11,1:49:40,Elite Men,Montreal,1071,61,3514,32,1905,6580
Aaron,Royle,AUS,21,0:16:56,0:00:58,0:58:31,0:00:30,0:32:49,12,1:49:42,Elite Men,Montreal,1016,58,3511,30,1969,6582
Richard,Varga,SVK,17,0:16:51,0:00:58,0:58:35,0:00:33,0:33:01,13,1:49:57,Elite Men,Montreal,1011,58,3515,33,1981,6597
Mario,Mola,ESP,1,0:17:46,0:00:56,0:58:40,0:00:31,0:32:10,14,1:50:00,Elite Men,Montreal,1066,56,3520,31,1930,6600
Shachar,Sagiv,ISR,23,0:17:48,0:00:55,0:58:36,0:00:28,0:32:14,15,1:50:01,Elite Men,Montreal,1068,55,3516,28,1934,6601
Dorian,Coninx,FRA,18,0:17:00,0:00:57,0:59:24,0:00:28,0:32:21,16,1:50:09,Elite Men,Montreal,1020,57,3564,28,1941,6609
Luke,Willian,AUS,19,0:17:37,0:00:57,0:58:50,0:00:32,0:32:16,17,1:50:10,Elite Men,Montreal,1057,57,3530,32,1936,6610
Gordon,Benson,GBR,25,0:17:22,0:01:01,0:59:00,0:00:37,0:32:17,18,1:50:15,Elite Men,Montreal,1042,61,3540,37,1937,6615
Andreas,Schilling,DEN,10,0:17:43,0:01:00,0:58:28,0:00:32,0:32:36,19,1:50:17,Elite Men,Montreal,1063,60,3508,32,1956,6617
Jonas,Schomburg,ITU,29,0:17:08,0:00:58,0:59:19,0:00:31,0:32:27,20,1:50:21,Elite Men,Montreal,1028,58,3559,31,1947,6621
Lukas,Hollaus,AUT,22,0:17:57,0:01:02,0:58:29,0:00:31,0:32:25,21,1:50:22,Elite Men,Montreal,1077,62,3509,31,1945,6622
Tony,Dodds,NZL,16,0:17:20,0:00:59,0:59:07,0:00:33,0:32:29,22,1:50:26,Elite Men,Montreal,1040,59,3547,33,1949,6626
Ben,Kanute,USA,24,0:16:54,0:01:04,0:58:26,0:00:29,0:33:36,23,1:50:27,Elite Men,Montreal,1014,64,3506,29,2016,6627
Russell,White,IRL,36,0:17:28,0:00:57,0:58:57,0:00:32,0:32:45,24,1:50:36,Elite Men,Montreal,1048,57,3537,32,1965,6636
Gustav,Iden,NOR,33,0:18:02,0:00:59,0:58:21,0:00:29,0:32:48,25,1:50:37,Elite Men,Montreal,1082,59,3501,29,1968,6637
Irving,Perez,MEX,30,0:17:09,0:00:56,0:59:21,0:00:33,0:32:43,26,1:50:40,Elite Men,Montreal,1029,56,3561,33,1963,6640
Adrien,Briffod,SUI,20,0:17:39,0:00:56,0:58:50,0:00:29,0:33:31,27,1:51:23,Elite Men,Montreal,1059,56,3530,29,2011,6683
David,Mendoza,MEX,41,0:17:46,0:01:00,0:58:40,0:00:38,0:33:40,28,1:51:43,Elite Men,Montreal,1066,60,3520,38,2020,6703
Alexis,Lepage,CAN,47,0:17:13,0:00:56,0:59:15,0:00:35,0:33:51,29,1:51:48,Elite Men,Montreal,1033,56,3555,35,2031,6708
Dmitry,Polyanskiy,RUS,32,0:17:24,0:00:59,0:59:06,0:00:36,0:33:55,30,1:51:59,Elite Men,Montreal,1044,59,3546,36,2035,6719
Fernando,Alarza,ESP,2,0:17:58,0:01:02,1:00:17,0:00:30,0:32:18,31,1:52:03,Elite Men,Montreal,1078,62,3617,30,1938,6723
Jumpei,Furuya,JPN,38,0:17:29,0:00:56,0:59:02,0:00:33,0:34:16,32,1:52:15,Elite Men,Montreal,1049,56,3542,33,2056,6735
Tyler,Mislawchuk,CAN,42,0:17:10,0:00:56,0:59:19,0:00:32,0:34:25,33,1:52:20,Elite Men,Montreal,1030,56,3559,32,2065,6740
Seth,Rider,USA,50,0:16:57,0:00:59,0:58:28,0:00:32,0:35:58,34,1:52:52,Elite Men,Montreal,1017,59,3508,32,2158,6772
Makoto,Odakura,JPN,39,0:17:18,0:01:06,0:59:03,0:00:38,0:35:10,35,1:53:13,Elite Men,Montreal,1038,66,3543,38,2110,6793
Shiruba,Taniguchi,JPN,43,0:17:49,0:00:57,0:58:43,0:00:34,0:35:39,36,1:53:39,Elite Men,Montreal,1069,57,3523,34,2139,6819
Hunter,Lussi,USA,51,0:17:49,0:01:08,0:58:33,0:00:38,0:35:39,37,1:53:44,Elite Men,Montreal,1069,68,3513,38,2139,6824
Joao,Pereira,POR,14,0:17:15,0:01:04,0:59:08,0:00:32,0:36:01,38,1:53:58,Elite Men,Montreal,1035,64,3548,32,2161,6838
Shogo,Ishitsuka,JPN,46,0:17:06,0:01:00,0:59:23,0:00:32,0:36:05,39,1:54:03,Elite Men,Montreal,1026,60,3563,32,2165,6843
Jacob,Birtwhistle,AUS,5,0:18:00,0:00:58,0:59:06,0:00:30,0:36:43,40,1:55:15,Elite Men,Montreal,1080,58,3546,30,2203,6915
Ryousuke,Maeda,JPN,44,0:17:05,0:00:57,0:59:21,0:00:33,0:43:52,41,2:01:47,Elite Men,Montreal,1025,57,3561,33,2632,7307
Kenji,Nener,AUS,48,0:17:34,0:00:59,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Men,Montreal,1054,59,0,0,0,#VALUE!
Grant,Sheldon,GBR,27,0:17:58,0:00:59,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Montreal,1078,59,0,0,0,#VALUE!
Matthew,McElroy,USA,28,0:18:00,0:00:56,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Montreal,1080,56,0,0,0,#VALUE!
Eric,Lagerstrom,USA,35,0:17:47,0:01:04,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Montreal,1067,64,0,0,0,#VALUE!
Eli,Hemming,USA,40,0:17:58,0:00:59,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Montreal,1078,59,0,0,0,#VALUE!
Miguel,Arraiolos,POR,37,0:17:59,0:00:56,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Men,Montreal,1079,56,0,0,0,#VALUE!
Eder,Mejia Muñoz,MEX,45,0:17:30,0:01:01,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Men,Montreal,1050,61,0,0,0,#VALUE!
Declan,Wilson,AUS,26,0:17:50,0:01:00,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Montreal,1070,60,0,0,0,#VALUE!
Ivan,Ivanov,UKR,49,0:17:45,0:01:01,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Montreal,1065,61,0,0,0,#VALUE!
Mohamad,Alsabbagh,SYR,52,0:17:56,0:01:01,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Men,Montreal,1076,61,0,0,0,#VALUE!
Sigurdur Orn,Ragnarsson,ISL,53,0:18:00,0:01:01,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Montreal,1080,61,0,0,0,#VALUE!
Ashleigh,Gentle,AUS,4,0:18:27,0:00:58,1:04:29,0:00:33,0:34:39,1,1:59:04,Elite Women,Montreal,1107,58,3869,33,2079,7144
Flora,Duffy,BER,1,0:18:16,0:01:03,1:04:34,0:00:39,0:34:57,2,1:59:27,Elite Women,Montreal,1096,63,3874,39,2097,7167
Andrea,Hewitt,NZL,5,0:18:19,0:01:05,1:04:32,0:00:31,0:35:24,3,1:59:48,Elite Women,Montreal,1099,65,3872,31,2124,7188
Joanna,Brown,CAN,19,0:18:17,0:01:02,1:04:36,0:00:33,0:35:56,4,2:00:23,Elite Women,Montreal,1097,62,3876,33,2156,7223
Kirsten,Kasper,USA,3,0:18:15,0:01:05,1:04:34,0:00:32,0:36:03,5,2:00:26,Elite Women,Montreal,1095,65,3874,32,2163,7226
Rachel,Klamer,NED,6,0:18:18,0:01:07,1:04:29,0:00:37,0:36:03,6,2:00:32,Elite Women,Montreal,1098,67,3869,37,2163,7232
Taylor,Knibb,USA,18,0:18:20,0:01:05,1:04:34,0:00:37,0:36:18,7,2:00:51,Elite Women,Montreal,1100,65,3874,37,2178,7251
Yuko,Takahashi,JPN,10,0:18:13,0:01:02,1:04:40,0:00:28,0:36:40,8,2:01:01,Elite Women,Montreal,1093,62,3880,28,2200,7261
Katie,Zaferes,USA,2,0:18:07,0:01:06,1:04:39,0:00:37,0:36:47,9,2:01:14,Elite Women,Montreal,1087,66,3879,37,2207,7274
Charlotte,McShane,AUS,8,0:18:18,0:01:02,1:04:35,0:00:32,0:37:23,10,2:01:49,Elite Women,Montreal,1098,62,3875,32,2243,7309
Gillian,Backhouse,AUS,7,0:18:12,0:01:06,1:04:35,0:00:33,0:37:48,11,2:02:13,Elite Women,Montreal,1092,66,3875,33,2268,7333
Vendula,Frintova,CZE,14,0:18:23,0:01:06,1:07:29,0:00:32,0:36:20,12,2:03:47,Elite Women,Montreal,1103,66,4049,32,2180,7427
Jolanda,Annen,SUI,9,0:18:20,0:01:03,1:07:37,0:00:40,0:37:04,13,2:04:41,Elite Women,Montreal,1100,63,4057,40,2224,7481
Zsófia,Kovács,HUN,29,0:18:24,0:01:02,1:07:34,0:00:33,0:37:20,14,2:04:52,Elite Women,Montreal,1104,62,4054,33,2240,7492
Lindsey,Jerdonek,USA,31,0:18:22,0:01:05,1:07:31,0:00:37,0:37:42,15,2:05:14,Elite Women,Montreal,1102,65,4051,37,2262,7514
Nicole,Van Der Kaay,NZL,25,0:18:33,0:01:01,1:07:25,0:00:38,0:38:06,16,2:05:41,Elite Women,Montreal,1113,61,4045,38,2286,7541
Emma,Jeffcoat,AUS,20,0:18:14,0:01:04,1:08:00,0:00:30,0:38:40,17,2:06:27,Elite Women,Montreal,1094,64,4080,30,2320,7587
Yuka,Sato,JPN,12,0:18:20,0:01:03,1:07:35,0:00:33,0:39:19,18,2:06:47,Elite Women,Montreal,1100,63,4055,33,2359,7607
Natalie,Van Coevorden,AUS,15,0:18:15,0:01:06,1:07:37,0:00:35,0:39:39,19,2:07:10,Elite Women,Montreal,1095,66,4057,35,2379,7630
Carolina,Routier,ESP,21,0:18:14,0:01:05,1:07:41,0:00:36,0:39:43,20,2:07:16,Elite Women,Montreal,1094,65,4061,36,2383,7636
Paula,Findlay,CAN,24,0:18:34,0:01:06,1:07:21,0:00:35,0:40:20,21,2:07:53,Elite Women,Montreal,1114,66,4041,35,2420,7673
Minami,Kubono,JPN,30,0:18:16,0:01:03,1:04:38,0:00:32,0:38:53,DSQ,DSQ,Elite Women,Montreal,1096,63,3878,32,2333,#VALUE!
Melanie,Santos,POR,23,0:18:23,0:01:02,1:07:36,0:00:40,0:00:00,DNF,DNF,Elite Women,Montreal,1103,62,4056,40,0,#VALUE!
Simone,Ackermann,RSA,27,0:18:20,0:01:05,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Montreal,1100,65,0,0,0,#VALUE!
Claire,Michel,BEL,16,0:19:04,0:01:05,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Montreal,1144,65,0,0,0,#VALUE!
Cecilia,Perez,MEX,28,0:18:22,0:01:10,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Montreal,1102,70,0,0,0,#VALUE!
Renee,Tomlin,USA,11,0:19:27,0:00:59,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Montreal,1167,59,0,0,0,#VALUE!
Claudia,Rivas,MEX,26,0:18:25,0:01:07,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Montreal,1105,67,0,0,0,#VALUE!
Gillian,Sanders,RSA,17,0:18:52,0:01:07,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Montreal,1132,67,0,0,0,#VALUE!
Aoi,Kuramoto,JPN,22,0:19:31,0:01:05,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Montreal,1171,65,0,0,0,#VALUE!
Jose Antonio,Bodoque Sanchez,ESP,,,,,,,,,NF Medicals,Montreal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Victor,Carapelho,USA,,,,,,,,,NF Medicals,Montreal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Vicky,Annis,GBR,,,,,,,,,NF Medicals,Montreal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Jose,Miota,BEL,,,,,,,,,NF Medicals,Montreal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Jose,Miota Ibarra,NED,,,,,,,,,NF Medicals,Montreal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Jonathan,Brownlee,GBR,4,0:17:54,0:00:49,0:59:23,0:00:27,0:30:47,1,1:49:10,Elite Men,Stockholm,1074,49,3563,27,1847,6550
